Date,Revenue,Upper_Bound,Lower_Bound,Confidence_Interval
2012-02-10,51821.44573202866,79317.75926411437,24443.22807085264,54874.53119326173
2012-02-11,69623.93651987272,95944.7009074592,44418.042352260716,51526.65855519849
2012-02-12,27296.249209591195,54930.24725640467,2697.835485907662,52232.411770497005
2012-02-13,50104.64962759297,77838.55317381452,23916.771415663978,53921.781758150544
2012-02-14,59612.268173763565,87314.25076110743,32695.668440297646,54618.58232080978
2012-02-15,56451.839215096945,82711.0814527121,30320.875118259984,52390.206334452116
2012-02-16,64525.4697902791,92805.51367333745,39094.33929168885,53711.174381648605
2012-02-17,58136.58594750364,85204.95075508372,32182.92732962903,53022.02342545468
2012-02-18,78276.49495946357,107243.83995223546,52042.23672719357,55201.60322504189
2012-02-19,37263.91151880319,65013.59289219484,12348.860079837035,52664.732812357805
2012-02-20,58715.90215069763,83805.23202233519,31801.224545964877,52004.00747637031
2012-02-21,63876.197089826775,88203.90927029867,36160.61499435645,52043.294275942215
2012-02-22,55113.15010178714,82745.49075584601,28506.93881860969,54238.55193723632
2012-02-23,59054.641005247744,84728.0459211617,33311.71063997037,51416.33528119133
2012-02-24,51693.58339857584,79550.47133317548,26521.156783494913,53029.31454968057
2012-02-25,73474.36848367672,100082.67886160324,46507.91770939513,53574.76115220811
2012-02-26,34626.2202036704,62154.57811811733,6059.653184925191,56094.92493319214
2012-02-27,57051.1423300538,84784.74864391815,29370.435661846564,55414.312982071584
2012-02-28,62016.643554793045,87447.80371536793,37749.71937043427,49698.08434493366
2012-02-29,53268.215243258324,78685.26124265633,25676.68052987757,53008.580712778756
2012-03-01,58525.983636169694,84670.12303820955,32215.87785139337,52454.24518681619
2012-03-02,53370.1809099646,81397.63257905403,28528.73117891793,52868.9014001361
2012-03-03,76728.2096931448,104094.41719494996,51039.389939935,53055.02725501496
2012-03-04,37797.106761650095,65216.30835644051,11559.23525832218,53657.07309811833
2012-03-05,59082.44187514802,87000.32883117023,34026.43182976534,52973.8970014049
2012-03-06,63594.52773837379,91606.9003925019,35301.48794913268,56305.41244336923
2012-03-07,56233.442323800824,83548.52240618234,30169.23542221749,53379.28698396485
2012-03-08,63991.38227458308,90237.07665306961,36874.06602488916,53363.010628180455
